,Water,Settlement,Dark soil, Bright soil,Vegetation,Agriculture,Cloud,Cloud shadow
1872,0.6002907,11.03719,7.748917,17.384457,10.555174,,22.318779,2.6780634
1873,0.6822917,11.222823,7.7135925,14.375894,10.488993,,22.362572,2.600007
1874,0.56727797,11.363975,7.7347603,13.775497,10.370134,,23.450872,2.6695335
1875,0.6291698,11.012454,7.842115,8.462298,9.884395,,24.29054,1.9802413
1876,0.679357,10.958468,7.6929784,8.371304,10.209555,,14.503747,1.8369966
1877,0.63256764,10.4664,7.6900787,8.629868,10.270939,,14.538006,1.7057017
1878,0.70440716,11.798592,7.7150297,8.671711,10.909288,,14.446192,1.9808111
1879,0.72341454,11.800205,7.6197944,8.60931,10.896338,,16.429054,2.1911354
1880,0.62977266,10.394063,7.585654,8.621364,11.355006,,17.37826,2.26923
1881,0.7513726,11.307142,7.5953836,8.430203,11.382916,,20.995047,2.652341
1882,0.66928613,10.897866,7.646984,8.4380865,10.484707,,22.82971,2.9259155
1883,0.62178457,11.148176,7.6112175,8.473635,10.444373,,25.733088,2.8319352
1884,0.60864943,10.673359,7.526283,8.364895,10.472924,,26.05684,2.7344792
1885,0.6190053,10.89024,7.6510067,8.739306,9.291998,,27.287205,0.80141014
1886,0.6749298,10.857877,7.6892867,8.920791,9.341962,,28.292118,0.7833976
1887,0.7050226,10.505273,7.652826,8.854627,9.333039,,14.844638,0.7669005
1888,0.8239958,11.86686,7.7197995,8.783715,8.722442,,14.826298,0.9090038
1889,0.77376956,11.8950205,7.678219,8.859685,9.0036745,,14.723732,0.8182688
1890,0.64033073,11.088355,7.659134,8.721693,8.778774,,16.86877,0.747215
1891,0.67227083,11.7381525,7.69112,8.780954,9.128466,,17.680433,0.77628016
1892,0.75752866,10.443658,7.5100813,8.805724,9.310496,,21.126736,0.6804579
1893,0.6678414,10.719799,7.570203,8.712288,9.194431,,22.718609,0.602256
1894,0.57989466,10.241838,7.6317706,8.842332,9.907262,,25.45323,0.7445759
